anio,mes,origen,destino,producto,toneladas,precio
2018,Abril,Bogotá,Rusia   ,Café,58.14000000000001,197.15
2018,Abril,Risaralda,Uruguay,Café,1.4,11.47
2018,Abril,Caldas,Ecuador,Café,43.19,992.06
2018,Abril,Magdalena,Alemania,Café,56.97,1087.1
2018,Abril,Santander,Alemania,Café,312.86,958.07
2018,Abril,Magdalena,Australia,Café,11.19,43.07
2018,Abril,Caldas,Bélgica,Café,1886.9300000000003,7246.08
2018,Abril,Huila,Canadá,Café,537.49,1693.63
2018,Abril,Magdalena,Canadá,Café,19.24,69.58
2018,Abril,Quindío,Canadá,Café,606.3900000000001,1973.6799999999998
2018,Abril,Risaralda,Canadá,Café,345.82,1076.01
2018,Abril,Tolima,Canadá,Café,153.76,475.38
2018,Abril,Valle del Cauca,Canadá,Café,212.06,730.19
2018,Abril,Cauca,Estados Unidos,Café,1294.3500000000001,4129.33
2018,Abril,Cesar,Estados Unidos,Café,134.71,417.95
2018,Abril,Huila,Estados Unidos,Café,2458.44,7875.23
2018,Abril,Magdalena,Estados Unidos,Café,191.95,814.14
2018,Abril,Tolima,Estados Unidos,Café,966.05,4457.6
2018,Abril,Santander,Finlandia,Café,588.64,1878.36
2018,Abril,Santander,Otros,Café,19.21,61.42
2018,Abril,Magdalena,Japón,Café,117.17,429.51
2018,Abril,Antioquia,Otros,Café,389.4099999999999,1280.24
2018,Abril,Magdalena,México,Café,19.89,107.69
2018,Abril,Magdalena,Nueva Zelandia,Café,19.17,89.6
2018,Abril,Santander,Países Bajos,Café,38.47,120.43
2018,Abril,Antioquia,Alemania,Café,357.34,1196.1699999999998
2018,Abril,Caldas,Alemania,Café,1202.0900000000001,5123.77
2018,Abril,Cauca,Alemania,Café,222.09,718.57
2018,Abril,Cundinamarca,Alemania,Café,19.2,60.12
2018,Abril,Huila,Alemania,Café,373.06,1196.88
2018,Abril,Nariño,Alemania,Café,19.21,68.45
2018,Abril,Tolima,Alemania,Café,129.65,550.45
2018,Abril,Valle del Cauca,Alemania,Café,332.01,1173.71
